epoch,aptitude,team_name,starter,pokemon_1,pokemon_2,pokemon_3,pokemon_4,pokemon_5,pokemon_6
0,1,Team 32,0,Zweilous,Hitmonchan,Tentacool,Mr. Mime,Wigglytuff,Aipom
0,1,Team 33,1,Shroomish,Turtwig,Beartic,Herdier,Metang,Cryogonal
0,1,Team 34,1,Skiddo,Jynx,Hoppip,Leafeon,Voltorb,Phanpy
0,1,Team 35,2,Doublade,Tepig,Fraxure,Nincada,Combee,Ninjask
0,1,Team 36,0,Ducklett,Heatmor,Nidorino,Magneton,Slowpoke,Eelektrik
0,1,Team 37,1,Spinda,Monferno,Porygon2,Silcoon,Torracat,Spearow
0,1,Team 38,3,Swinub,Magneton,Huntail,Buizel,Zoroark,Archeops
0,1,Team 39,3,Vanilluxe,Bagon,Ledian,Minccino,Chinchou,Solrock
0,1,Team 40,4,Sewaddle,Excadrill,Krookodile,Pupitar,Bergmite,Binacle
0,1,Team 41,5,Combee,Teddiursa,Flaaffy,Togetic,Magikarp,Ambipom
0,1,Team 42,3,Zorua,Swablu,Whismur,Poliwhirl,Klink,Raticate
0,1,Team 43,3,Machoke,Tyrogue,Kakuna,Skitty,Dusknoir,Mismagius
0,0,Team 44,5,Yungoos,Machamp,Diggersby,Pignite,Bellossom,Toxapex
0,0,Team 45,1,Jigglypuff,Alomomola,Caterpie,Minccino,Numel,Shellder
0,0,Team 46,2,Clauncher,Lurantis,Beedrill,Nincada,Barboach,Joltik
0,0,Team 47,4,Gurdurr,Carvanha,Burmy,Lileep,Ludicolo,Rhyhorn
0,0,Team 48,3,Seedot,Kecleon,Bulbasaur,Dewott,Chinchou,Vivillon
0,0,Team 49,2,Glameow,Quilladin,Tranquill,Sunflora,Swadloon,Toucannon
1,326,Team 50,4,Slaking,Watchog,Chingling,Snubbull,Noivern,Talonflame
1,319,Team 51,5,Magmortar,Silvally,Noctowl,Cradily,Pignite,Gliscor
1,226,Team 52,4,Durant,Budew,Tyranitar,Torterra,Noivern,Talonflame
1,221,Team 53,1,Gyarados,Watchog,Chingling,Torterra,Noivern,Talonflame
1,199,Team 54,2,Arcanine,Silvally,Greninja,Ponyta,Rufflet,Ralts
1,196,Team 55,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
1,196,Team 56,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
1,196,Team 57,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
1,175,Team 58,5,Durant,Budew,Tyranitar,Torterra,Lilligant,Talonflame
1,139,Team 59,0,Magmortar,Kingler,Noctowl,Cradily,Pignite,Kangaskhan
1,139,Team 60,0,Magmortar,Kingler,Noctowl,Cradily,Pignite,Kangaskhan
1,139,Team 61,0,Magmortar,Kingler,Noctowl,Cradily,Pignite,Kangaskhan
1,139,Team 62,1,Wishiwashi,Watchog,Abra,Torterra,Noivern,Bouffalant
1,139,Team 63,5,Palpitoad,Silvally,Seviper,Brionne,Rufflet,Gliscor
1,117,Team 64,0,Magmortar,Kingler,Seviper,Dhelmise,Rufflet,Gliscor
1,104,Team 65,2,Palpitoad,Metagross,Seviper,Caterpie,Ferroseed,Gliscor
1,95,Team 66,2,Arcanine,Lileep,Greninja,Ponyta,Wormadam,Ralts
1,84,Team 67,2,Crobat,Scizor,Scraggy,Totodile,Malamar,Torkoal
1,77,Team 68,0,Magmortar,Kingler,Noctowl,Cradily,Pignite,Talonflame
1,73,Team 69,2,Palpitoad,Metagross,Fomantis,Snubbull,Rufflet,Gliscor
1,71,Team 70,4,Magmortar,Kingler,Chingling,Torterra,Noivern,Talonflame
1,60,Team 71,5,Reuniclus,Espeon,Tyranitar,Donphan,Seadra,Slowbro
1,59,Team 72,2,Arcanine,Scizor,Scraggy,Brionne,Mamoswine,Ralts
1,53,Team 73,1,Crobat,Pinsir,Scraggy,Girafarig,Dedenne,Torkoal
1,51,Team 74,2,Crobat,Scizor,Scraggy,Ponyta,Wormadam,Ralts
1,50,Team 75,2,Crobat,Walrein,Clawitzer,Brionne,Mamoswine,Torkoal
1,48,Team 76,1,Cherrim,Araquanid,Abra,Lickilicky,Exeggutor,Bouffalant
1,48,Team 77,1,Cherrim,Araquanid,Abra,Lickilicky,Exeggutor,Bouffalant
1,38,Team 78,0,Wishiwashi,Kingler,Chingling,Araquanid,Noivern,Kangaskhan
1,26,Team 79,1,Pinsir,Palossand,Scraggy,Totodile,Mamoswine,Magby
1,22,Team 80,0,Cherrim,Kingler,Abra,Cradily,Exeggutor,Bouffalant
1,21,Team 81,2,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
1,16,Team 82,1,Crobat,Araquanid,Scraggy,Spinda,Mamoswine,Torkoal
1,12,Team 83,2,Sewaddle,Scizor,Gligar,Girafarig,Mamoswine,Torkoal
1,10,Team 84,3,Palpitoad,Sceptile,Seviper,Abomasnow,Rufflet,Lycanroc
1,9,Team 85,1,Pupitar,Kingler,Abra,Cradily,Pignite,Kangaskhan
1,8,Team 86,3,Palpitoad,Silvally,Seviper,Brionne,Rufflet,Lycanroc
1,8,Team 87,5,Reuniclus,Budew,Tyranitar,Druddigon,Lilligant,Piplup
1,6,Team 88,2,Palpitoad,Lileep,Seviper,Ponyta,Wormadam,Gliscor
1,6,Team 89,3,Nidorina,Sceptile,Sewaddle,Vulpix,Medicham,Lycanroc
1,6,Team 90,5,Octillery,Scyther,Grimer,Snorlax,Crobat,Sunflora
1,3,Team 91,4,Wishiwashi,Kingler,Noctowl,Cradily,Noivern,Bibarel
1,3,Team 92,1,Cherrim,Araquanid,Scraggy,Brionne,Mamoswine,Torkoal
1,2,Team 93,5,Gourgeist,Scyther,Spiritomb,Happiny,Crobat,Ivysaur
1,1,Team 94,4,Wishiwashi,Metagross,Fomantis,Snubbull,Ferroseed,Honedge
1,0,Team 95,2,Chinchou,Walrein,Remoraid,Brionne,Trevenant,Torkoal
1,0,Team 96,2,Wishiwashi,Lileep,Chingling,Ponyta,Wormadam,Talonflame
1,0,Team 97,4,Wishiwashi,Watchog,Budew,Torterra,Wormadam,Ralts
1,0,Team 98,4,Palpitoad,Watchog,Chingling,Wimpod,Rufflet,Talonflame
1,0,Team 99,4,Palpitoad,Watchog,Chingling,Brionne,Phanpy,Talonflame
2,359,Team 100,4,Slaking,Watchog,Chingling,Snubbull,Lilligant,Talonflame
2,354,Team 101,4,Slaking,Kingler,Chingling,Snubbull,Noivern,Talonflame
2,324,Team 102,2,Arcanine,Silvally,Chingling,Ponyta,Rufflet,Talonflame
2,316,Team 103,5,Magmortar,Metagross,Darumaka,Cradily,Ferroseed,Gliscor
2,300,Team 104,4,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Talonflame
2,300,Team 105,4,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Talonflame
2,293,Team 106,2,Magmortar,Silvally,Noctowl,Cradily,Pignite,Gliscor
2,272,Team 107,1,Durant,Watchog,Tyranitar,Torterra,Noivern,Talonflame
2,265,Team 108,5,Palpitoad,Silvally,Abra,Torterra,Noivern,Bouffalant
2,259,Team 109,0,Slaking,Kingler,Noctowl,Cradily,Pignite,Talonflame
2,243,Team 110,1,Wishiwashi,Silvally,Abra,Torterra,Noivern,Bouffalant
2,227,Team 111,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
2,227,Team 112,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
2,227,Team 113,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
2,227,Team 114,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
2,218,Team 115,1,Gyarados,Watchog,Chingling,Torterra,Noivern,Talonflame
2,217,Team 116,1,Wishiwashi,Araquanid,Abra,Torterra,Noivern,Bouffalant
2,208,Team 117,0,Durant,Budew,Tyranitar,Torterra,Noivern,Bouffalant
2,200,Team 118,2,Arcanine,Silvally,Greninja,Ponyta,Rufflet,Ralts
2,200,Team 119,2,Arcanine,Silvally,Greninja,Ponyta,Rufflet,Ralts
2,181,Team 120,4,Magmortar,Silvally,Greninja,Torterra,Noivern,Ralts
2,176,Team 121,2,Arcanine,Lileep,Greninja,Ponyta,Pignite,Kangaskhan
2,165,Team 122,1,Wishiwashi,Watchog,Abra,Torterra,Noivern,Bouffalant
2,165,Team 123,1,Wishiwashi,Watchog,Abra,Torterra,Noivern,Bouffalant
2,154,Team 124,0,Magmortar,Kingler,Noctowl,Cradily,Pignite,Kangaskhan
2,153,Team 125,0,Magmortar,Kingler,Chingling,Torterra,Pignite,Kangaskhan
2,146,Team 126,5,Durant,Budew,Tyranitar,Donphan,Lilligant,Talonflame
2,138,Team 127,1,Magmortar,Trubbish,Greninja,Ponyta,Pignite,Kangaskhan
2,129,Team 128,2,Magmortar,Silvally,Noctowl,Ponyta,Rufflet,Ralts
2,120,Team 129,5,Palpitoad,Silvally,Noctowl,Brionne,Pignite,Kangaskhan
2,112,Team 130,2,Arcanine,Kingler,Greninja,Ponyta,Rufflet,Ralts
2,101,Team 131,0,Magmortar,Kingler,Chingling,Torterra,Noivern,Talonflame
2,91,Team 132,1,Durant,Watchog,Chingling,Torterra,Lilligant,Talonflame
2,90,Team 133,4,Cherrim,Delibird,Abra,Cradily,Noivern,Talonflame
2,80,Team 134,4,Magmortar,Kingler,Chingling,Torterra,Noivern,Talonflame
2,68,Team 135,5,Wishiwashi,Kingler,Chingling,Cradily,Noivern,Kangaskhan
2,62,Team 136,4,Wishiwashi,Kingler,Chingling,Cradily,Noivern,Talonflame
2,61,Team 137,5,Reuniclus,Espeon,Tyranitar,Torterra,Lilligant,Starmie
2,37,Team 138,5,Pelipper,Watchog,Tyranitar,Snubbull,Noivern,Talonflame
2,27,Team 139,4,Wishiwashi,Watchog,Chingling,Snubbull,Noivern,Talonflame
2,26,Team 140,3,Wishiwashi,Silvally,Snubbull,Torterra,Rufflet,Bouffalant
2,23,Team 141,5,Magmortar,Kingler,Noctowl,Brionne,Pignite,Gliscor
2,22,Team 142,0,Magmortar,Kingler,Chingling,Cradily,Noivern,Shelmet
2,6,Team 143,4,Magmortar,Watchog,Chingling,Torterra,Pignite,Talonflame
2,6,Team 144,0,Pachirisu,Kingler,Noctowl,Cradily,Pignite,Kangaskhan
2,4,Team 145,1,Wishiwashi,Watchog,Seviper,Brionne,Rufflet,Bouffalant
2,4,Team 146,1,Crobat,Kingler,Noctowl,Cradily,Dedenne,Seaking
2,2,Team 147,4,Wishiwashi,Watchog,Chingling,Brionne,Rufflet,Gliscor
2,1,Team 148,1,Wishiwashi,Araquanid,Chingling,Torterra,Exeggutor,Talonflame
2,0,Team 149,5,Palpitoad,Watchog,Chingling,Brionne,Rufflet,Talonflame
3,392,Team 150,5,Arcanine,Silvally,Greninja,Ponyta,Noivern,Bouffalant
3,392,Team 151,5,Arcanine,Silvally,Chingling,Delcatty,Noivern,Kangaskhan
3,389,Team 152,1,Arcanine,Silvally,Greninja,Torterra,Noivern,Talonflame
3,381,Team 153,5,Arcanine,Silvally,Abra,Torterra,Rufflet,Bouffalant
3,356,Team 154,4,Magmortar,Silvally,Tyranitar,Cradily,Pignite,Talonflame
3,328,Team 155,4,Wishiwashi,Silvally,Noctowl,Torterra,Noivern,Talonflame
3,323,Team 156,2,Slaking,Watchog,Greninja,Ponyta,Pignite,Kangaskhan
3,284,Team 157,1,Palpitoad,Silvally,Greninja,Ponyta,Aurorus,Kangaskhan
3,278,Team 158,4,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Talonflame
3,278,Team 159,4,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Talonflame
3,263,Team 160,4,Magmortar,Silvally,Noctowl,Magby,Noivern,Talonflame
3,256,Team 161,5,Palpitoad,Silvally,Abra,Torterra,Noivern,Bouffalant
3,253,Team 162,1,Gyarados,Silvally,Greninja,Ponyta,Rufflet,Talonflame
3,201,Team 163,1,Gyarados,Watchog,Chingling,Torterra,Noivern,Talonflame
3,201,Team 164,1,Gyarados,Watchog,Chingling,Torterra,Noivern,Talonflame
3,200,Team 165,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
3,200,Team 166,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
3,200,Team 167,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
3,197,Team 168,4,Arcanine,Silvally,Chingling,Torterra,Noivern,Talonflame
3,190,Team 169,5,Wishiwashi,Watchog,Abra,Torterra,Noivern,Talonflame
3,189,Team 170,1,Durant,Watchog,Chingling,Torterra,Noivern,Talonflame
3,187,Team 171,1,Wishiwashi,Araquanid,Abra,Torterra,Noivern,Bouffalant
3,173,Team 172,5,Magmortar,Metagross,Abra,Torterra,Noivern,Larvesta
3,168,Team 173,4,Magmortar,Watchog,Darumaka,Torterra,Ferroseed,Talonflame
3,162,Team 174,5,Magmortar,Metagross,Darumaka,Torterra,Pignite,Gliscor
3,160,Team 175,2,Magmortar,Watchog,Tyranitar,Torterra,Noivern,Gliscor
3,159,Team 176,4,Wishiwashi,Watchog,Abra,Torterra,Noivern,Bouffalant
3,153,Team 177,5,Palpitoad,Silvally,Abra,Torterra,Noivern,Gliscor
3,146,Team 178,2,Arcanine,Kingler,Greninja,Ponyta,Rufflet,Kangaskhan
3,132,Team 179,0,Durant,Watchog,Tyranitar,Torterra,Pignite,Kangaskhan
3,110,Team 180,0,Magmortar,Watchog,Chingling,Torterra,Noivern,Talonflame
3,108,Team 181,2,Arcanine,Watchog,Chingling,Ponyta,Pignite,Kangaskhan
3,100,Team 182,1,Wishiwashi,Watchog,Abra,Torterra,Noivern,Talonflame
3,88,Team 183,5,Magmortar,Watchog,Darumaka,Torterra,Noivern,Talonflame
3,83,Team 184,0,Magmortar,Kingler,Chingling,Torterra,Noivern,Talonflame
3,68,Team 185,1,Durant,Watchog,Chingling,Torterra,Lilligant,Talonflame
3,59,Team 186,4,Magmortar,Watchog,Chingling,Cradily,Noivern,Talonflame
3,53,Team 187,4,Aipom,Smoochum,Greninja,Torterra,Pignite,Kangaskhan
3,43,Team 188,1,Wishiwashi,Watchog,Abra,Torterra,Noivern,Slowking
3,40,Team 189,1,Magmortar,Trubbish,Chingling,Torterra,Pignite,Talonflame
3,24,Team 190,1,Wishiwashi,Anorith,Abra,Snubbull,Noivern,Bouffalant
3,21,Team 191,1,Gyarados,Watchog,Chingling,Torterra,Seedot,Bouffalant
3,19,Team 192,5,Magmortar,Kingler,Chingling,Cradily,Pignite,Gliscor
3,10,Team 193,4,Wishiwashi,Silvally,Chingling,Ponyta,Rufflet,Talonflame
3,5,Team 194,4,Wishiwashi,Watchog,Chingling,Torterra,Lilligant,Talonflame
3,4,Team 195,4,Meditite,Araquanid,Chingling,Torterra,Noivern,Bouffalant
3,3,Team 196,5,Palpitoad,Trubbish,Abra,Ursaring,Pignite,Bouffalant
3,2,Team 197,2,Wishiwashi,Watchog,Chingling,Ponyta,Noivern,Talonflame
3,1,Team 198,5,Wishiwashi,Watchog,Darumaka,Cradily,Noivern,Talonflame
3,1,Team 199,2,Wishiwashi,Watchog,Chingling,Ponyta,Rufflet,Talonflame
4,394,Team 200,4,Wishiwashi,Metagross,Tyranitar,Torterra,Noivern,Talonflame
4,391,Team 201,1,Gyarados,Silvally,Greninja,Ponyta,Rufflet,Kangaskhan
4,387,Team 202,5,Arcanine,Silvally,Greninja,Ponyta,Noivern,Bouffalant
4,386,Team 203,5,Arcanine,Silvally,Greninja,Ponyta,Rufflet,Bouffalant
4,379,Team 204,4,Magmortar,Silvally,Greninja,Ponyta,Noivern,Bouffalant
4,374,Team 205,1,Arcanine,Silvally,Abra,Torterra,Aurorus,Kangaskhan
4,373,Team 206,4,Arcanine,Silvally,Greninja,Torterra,Noivern,Bouffalant
4,372,Team 207,5,Arcanine,Silvally,Abra,Ponyta,Aurorus,Kangaskhan
4,372,Team 208,2,Arcanine,Silvally,Greninja,Ponyta,Rufflet,Bouffalant
4,369,Team 209,4,Gyarados,Watchog,Tyranitar,Torterra,Noivern,Talonflame
4,360,Team 210,5,Magmortar,Silvally,Greninja,Ponyta,Noivern,Bouffalant
4,341,Team 211,1,Gyarados,Watchog,Abra,Torterra,Noivern,Bouffalant
4,325,Team 212,5,Arcanine,Silvally,Abra,Ponyta,Noivern,Bouffalant
4,316,Team 213,1,Gyarados,Watchog,Chingling,Torterra,Noivern,Bouffalant
4,267,Team 214,4,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Talonflame
4,267,Team 215,4,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Talonflame
4,267,Team 216,4,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Talonflame
4,253,Team 217,4,Magmortar,Silvally,Noctowl,Magby,Noivern,Talonflame
4,253,Team 218,5,Palpitoad,Silvally,Abra,Torterra,Noivern,Bouffalant
4,223,Team 219,1,Gyarados,Watchog,Chingling,Torterra,Noivern,Talonflame
4,213,Team 220,0,Durant,Watchog,Chingling,Torterra,Noivern,Talonflame
4,206,Team 221,4,Arcanine,Metagross,Abra,Torterra,Noivern,Talonflame
4,202,Team 222,4,Arcanine,Silvally,Chingling,Torterra,Noivern,Talonflame
4,199,Team 223,1,Durant,Watchog,Chingling,Torterra,Noivern,Talonflame
4,196,Team 224,5,Magmortar,Watchog,Greninja,Ponyta,Noivern,Bouffalant
4,195,Team 225,5,Magmortar,Silvally,Greninja,Ponyta,Noivern,Talonflame
4,192,Team 226,5,Gyarados,Silvally,Abra,Torterra,Noivern,Talonflame
4,191,Team 227,1,Wishiwashi,Araquanid,Abra,Torterra,Noivern,Bouffalant
4,175,Team 228,1,Durant,Kingler,Chingling,Torterra,Noivern,Talonflame
4,171,Team 229,5,Magmortar,Metagross,Noctowl,Torterra,Noivern,Larvesta
4,169,Team 230,4,Arcanine,Metagross,Abra,Torterra,Noivern,Larvesta
4,167,Team 231,4,Magmortar,Watchog,Tyranitar,Cradily,Noivern,Talonflame
4,162,Team 232,4,Magmortar,Watchog,Tyranitar,Torterra,Noivern,Larvesta
4,153,Team 233,4,Wishiwashi,Watchog,Abra,Torterra,Noivern,Bouffalant
4,150,Team 234,1,Wishiwashi,Watchog,Abra,Torterra,Noivern,Bouffalant
4,150,Team 235,1,Wishiwashi,Watchog,Abra,Torterra,Noivern,Bouffalant
4,149,Team 236,1,Palpitoad,Silvally,Greninja,Ponyta,Aurorus,Talonflame
4,136,Team 237,1,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Bouffalant
4,118,Team 238,5,Gyarados,Watchog,Chingling,Torterra,Noivern,Talonflame
4,110,Team 239,4,Wishiwashi,Watchog,Abra,Torterra,Noivern,Talonflame
4,106,Team 240,1,Arcanine,Watchog,Chingling,Torterra,Noivern,Talonflame
4,83,Team 241,1,Magmortar,Watchog,Darumaka,Torterra,Noivern,Talonflame
4,63,Team 242,1,Magmortar,Watchog,Abra,Cradily,Noivern,Talonflame
4,47,Team 243,1,Wishiwashi,Tentacool,Greninja,Ponyta,Noivern,Bouffalant
4,45,Team 244,5,Palpitoad,Watchog,Tyranitar,Torterra,Noivern,Talonflame
4,24,Team 245,4,Wishiwashi,Watchog,Tyranitar,Cradily,Noivern,Roselia
4,21,Team 246,4,Wishiwashi,Watchog,Tyranitar,Cradily,Pignite,Talonflame
4,8,Team 247,4,Meditite,Watchog,Seedot,Torterra,Noivern,Bouffalant
4,7,Team 248,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Bouffalant
4,3,Team 249,1,Wishiwashi,Watchog,Chingling,Torterra,Seedot,Talonflame
5,400,Team 250,5,Arcanine,Silvally,Greninja,Ponyta,Rufflet,Kangaskhan
5,397,Team 251,1,Arcanine,Silvally,Greninja,Ponyta,Rufflet,Kangaskhan
5,394,Team 252,4,Arcanine,Silvally,Greninja,Ponyta,Noivern,Kangaskhan
5,392,Team 253,1,Wishiwashi,Metagross,Tyranitar,Torterra,Noivern,Talonflame
5,386,Team 254,5,Chatot,Silvally,Abra,Torterra,Noivern,Kangaskhan
5,385,Team 255,4,Arcanine,Silvally,Greninja,Torterra,Rufflet,Bouffalant
5,385,Team 256,2,Arcanine,Silvally,Tyranitar,Torterra,Noivern,Bouffalant
5,385,Team 257,2,Arcanine,Silvally,Greninja,Ponyta,Noivern,Bouffalant
5,385,Team 258,4,Magmortar,Silvally,Greninja,Ponyta,Noivern,Bouffalant
5,385,Team 259,4,Arcanine,Silvally,Greninja,Ponyta,Noivern,Bouffalant
5,385,Team 260,4,Magmortar,Silvally,Greninja,Ponyta,Noivern,Bouffalant
5,383,Team 261,5,Arcanine,Silvally,Abra,Torterra,Noivern,Kangaskhan
5,379,Team 262,1,Arcanine,Silvally,Abra,Torterra,Noivern,Kangaskhan
5,376,Team 263,5,Arcanine,Silvally,Abra,Ponyta,Aurorus,Kangaskhan
5,376,Team 264,5,Arcanine,Silvally,Quilladin,Igglybuff,Aurorus,Kangaskhan
5,372,Team 265,4,Arcanine,Silvally,Greninja,Ponyta,Rufflet,Bouffalant
5,372,Team 266,1,Arcanine,Metagross,Abra,Torterra,Noivern,Kangaskhan
5,367,Team 267,4,Wishiwashi,Silvally,Tyranitar,Magby,Noivern,Talonflame
5,365,Team 268,1,Wishiwashi,Silvally,Abra,Torterra,Aurorus,Kangaskhan
5,360,Team 269,1,Durant,Silvally,Chingling,Torterra,Noivern,Talonflame
5,359,Team 270,5,Arcanine,Metagross,Abra,Torterra,Noivern,Exploud
5,339,Team 271,1,Arcanine,Silvally,Chingling,Ponyta,Rufflet,Talonflame
5,336,Team 272,4,Wishiwashi,Silvally,Noctowl,Torterra,Noivern,Talonflame
5,329,Team 273,5,Wishiwashi,Silvally,Greninja,Ponyta,Noivern,Bouffalant
5,326,Team 274,5,Palpitoad,Silvally,Greninja,Ponyta,Noivern,Bouffalant
5,311,Team 275,1,Gyarados,Watchog,Chingling,Torterra,Noivern,Bouffalant
5,309,Team 276,1,Arcanine,Silvally,Chingling,Ponyta,Noivern,Talonflame
5,281,Team 277,4,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Talonflame
5,265,Team 278,1,Wishiwashi,Silvally,Abra,Magby,Noivern,Bouffalant
5,263,Team 279,4,Magmortar,Silvally,Noctowl,Togetic,Noivern,Talonflame
5,252,Team 280,1,Arcanine,Pikipek,Greninja,Torterra,Noivern,Bouffalant
5,236,Team 281,5,Gyarados,Silvally,Chingling,Ponyta,Noivern,Talonflame
5,223,Team 282,4,Arcanine,Silvally,Greninja,Torterra,Noivern,Talonflame
5,218,Team 283,5,Palpitoad,Silvally,Greninja,Torterra,Noivern,Talonflame
5,201,Team 284,1,Wishiwashi,Araquanid,Abra,Torterra,Noivern,Bouffalant
5,176,Team 285,4,Wishiwashi,Kingler,Chingling,Torterra,Noivern,Talonflame
5,174,Team 286,4,Magmortar,Watchog,Tyranitar,Torterra,Noivern,Larvesta
5,146,Team 287,4,Magmortar,Watchog,Greninja,Torterra,Noivern,Talonflame
5,140,Team 288,4,Magmortar,Croagunk,Tyranitar,Ponyta,Noivern,Talonflame
5,139,Team 289,5,Arcanine,Watchog,Tyranitar,Ponyta,Noivern,Larvesta
5,133,Team 290,1,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Bouffalant
5,127,Team 291,1,Wishiwashi,Araquanid,Greninja,Ponyta,Noivern,Bouffalant
5,119,Team 292,5,Magmortar,Watchog,Machoke,Ponyta,Noivern,Kangaskhan
5,109,Team 293,5,Deino,Silvally,Abra,Ponyta,Aurorus,Kangaskhan
5,68,Team 294,4,Arcanine,Watchog,Abra,Torterra,Noivern,Nincada
5,42,Team 295,5,Wishiwashi,Watchog,Tyranitar,Torterra,Noivern,Talonflame
5,39,Team 296,5,Arcanine,Watchog,Chingling,Ponyta,Noivern,Talonflame
5,19,Team 297,5,Wishiwashi,Watchog,Pelipper,Torterra,Noivern,Talonflame
5,6,Team 298,1,Durant,Kingler,Mawile,Ponyta,Noivern,Talonflame
5,5,Team 299,1,Wishiwashi,Watchog,Mawile,Torterra,Noivern,Bouffalant
6,394,Team 300,1,Arcanine,Silvally,Greninja,Torterra,Noivern,Kangaskhan
6,390,Team 301,4,Wishiwashi,Silvally,Tyranitar,Torterra,Noivern,Talonflame
6,388,Team 302,1,Chatot,Metagross,Abra,Torterra,Noivern,Kangaskhan
6,386,Team 303,5,Arcanine,Silvally,Abra,Torterra,Noivern,Kangaskhan
6,386,Team 304,5,Arcanine,Silvally,Abra,Torterra,Noivern,Kangaskhan
6,386,Team 305,5,Arcanine,Silvally,Abra,Torterra,Noivern,Kangaskhan
6,386,Team 306,5,Arcanine,Silvally,Abra,Torterra,Noivern,Kangaskhan
6,386,Team 307,5,Arcanine,Silvally,Abra,Torterra,Noivern,Kangaskhan
